10,1,1,0,0.66095,1.3715,0,12.5,1
10,1,1,0,2.7306,1.6283,0,14,1
10,1,1,1,-0.48949,0.77163,1,12.5,3
10,1,1,0,0.059445,0.92227,0,11.5,3
10,1,1,1,1.0647,0.89148,0,12.5,3
10,1,1,0,1.2105,0.96549,0,11,3
10,1,1,1,1.4949,0.77861,0,11,1
10,1,1,0,1.9206,0.69297,0,11,3
10,1,1,1,2.4837,1.4568,0,10,1
10,1,1,0,-1.648,1.2301,1,12.5,1
10,1,1,1,0.96493,1.1226,0,11,1
10,1,1,1,2.6975,1.0283,0,11,1
10,1,1,0,-2.7709,1.0227,1,10,3
10,1,1,1,-0.53486,0.74988,1,13,3
10,1,1,1,-0.17209,0.96502,1,13,3
10,1,1,0,0.7952,0.74938,0,11.5,3
10,1,1,0,0.98627,0.75113,0,11.5,3
10,1,1,1,1.6124,1.6183,0,12.5,3
10,1,1,1,-0.6577,1.2493,1,12.5,3
10,1,1,1,1.237,1.1412,0,10,1
10,1,1,0,1.1493,0.87705,0,11,3
10,1,1,1,2.9552,0.63787,0,12.5,3
10,1,1,0,2.7943,0.57959,0,10,3
10,1,1,1,-2.8308,0.76321,1,14,3
10,1,1,0,-1.8246,0.68539,1,14,1
10,1,1,1,-2.7916,0.86855,1,11.5,1
10,1,1,0,-2.9042,0.65654,1,12.5,1
10,1,1,0,1.8229,1.2967,0,11,3
10,1,1,1,2.9947,1.0966,0,11,1
10,1,1,1,0.055193,1.1523,0,11.5,1
10,1,1,0,0.80321,0.78248,0,13,1
10,1,1,1,1.7099,1.0975,0,10,1
10,1,1,0,3.0138,0.82496,0,13,1
10,1,1,0,-2.0729,0.76244,1,14,1
10,1,1,0,-0.84538,1.0113,1,12.5,1
10,1,1,0,0.18244,1.7255,0,13,1
10,1,1,1,2.7406,1.0255,0,13,3
10,1,1,1,3.0905,0.71854,0,10,1
10,1,1,0,-2.5535,0.76518,1,13,1
10,1,1,1,-2.4407,0.66565,1,10,1
10,1,1,0,-2.4557,1.1362,1,11.5,3
10,1,1,1,-0.39623,0.79551,1,11.5,1
10,1,1,1,-0.16085,0.65583,1,10,1
10,1,1,1,0.55054,0.92504,0,14,3
10,1,1,1,-2.9138,1.1272,1,14,3
10,1,1,0,-0.54422,1.0059,1,11.5,3
10,1,1,1,0.69229,0.93664,0,13,3
10,1,1,0,1.9148,1.0005,0,14,1
10,1,1,1,-2.7818,0.7816,1,12.5,3
10,1,1,1,-0.15515,0.80207,1,11,1
10,1,1,1,0.75218,0.79559,0,10,1
10,1,1,1,2.1154,1.1206,0,14,3
10,1,1,1,-1.7603,0.77978,1,11.5,1
10,1,1,0,-0.93322,0.89791,1,14,1
10,1,1,1,0.85405,1.0587,0,11,1
10,1,1,1,1.8148,1.029,0,13,3
10,1,1,1,2.7483,0.9342,0,10,1
10,1,1,0,-2.3497,0.99431,1,13,1
10,1,1,0,-0.49459,0.97113,1,11.5,3
10,1,1,1,1.0937,0.78816,0,14,3
12,1,1,1,0.58139,2.3442,0,13,3
12,1,1,1,-0.81551,1.9694,1,12.5,3
12,1,1,1,-0.63349,0.88859,1,11,1
12,1,1,0,0.62092,2.3807,0,11.5,3
12,1,1,0,0.93179,2.2087,0,10,3
12,1,1,1,0.11098,1.323,0,11,1
12,1,1,1,1.8568,1.8557,0,11.5,1
12,1,1,1,-1.2396,0.94522,1,12.5,3
12,1,1,1,0.13898,1.5622,0,11.5,1
12,1,1,1,1.3714,1.4299,0,14,3
12,1,1,1,2.5451,1.3668,0,10,1
12,1,1,1,0.079525,1.8128,0,12.5,3
12,1,1,1,1.126,1.6092,0,12.5,3
12,1,1,1,-2.7991,1.0831,1,14,3
12,1,1,1,0.14592,1.2729,0,13,3
12,1,1,0,1.046,1.4898,0,12.5,1
12,1,1,1,2.0627,1.6721,0,13,3
12,1,1,0,-2.112,1.9523,1,11,3
12,1,1,1,0.96217,1.3736,0,14,3
12,1,1,1,2.3498,1.3751,0,11.5,1
12,1,1,1,-0.042963,1.7402,1,13,3
12,1,1,1,1.9904,1.0894,0,14,3
12,1,1,1,1.6696,1.0252,0,11,1
12,1,1,1,1.3087,1.3698,0,13,3
12,1,1,1,2.0912,1.071,0,14,3
12,1,1,0,2.0619,1.9223,0,13,1
12,1,1,1,-0.93875,1.368,1,12.5,3
