3,S,1,q1,0
3,S,1,q2,0
3,S,1,q3,0
3,S,1,q4,0
3,S,1,q4_loc,0
3,S,1,q5,3
3,S,1,q6,0
3,S,1,q7,0
3,S,1,q8,6
3,S,1,q9,3
3,S,1,pq_1,2
3,S,1,pq_2,1
3,S,1,hand,0.5
3,A,2,q1,0
3,A,2,q2,0
3,A,2,q3,0
3,A,2,q4,0
3,A,2,q4_loc,0
3,A,2,q5,0
3,A,2,q6,0
3,A,2,q7,0
3,A,2,q8,0
3,A,2,q9,0
3,A,2,pq_1,2
3,A,2,pq_2,1
3,A,2,hand,0.5
4,S,2,q1,0
4,S,2,q2,0
4,S,2,q3,0
4,S,2,q4,0
4,S,2,q4_loc,0
4,S,2,q5,3
4,S,2,q6,0
4,S,2,q7,0
4,S,2,q8,0
4,S,2,q9,0
4,S,2,pq_1,1
4,S,2,pq_2,2
4,S,2,hand,1
4,A,1,q1,0
4,A,1,q2,0
4,A,1,q3,0
4,A,1,q4,0
4,A,1,q4_loc,0
4,A,1,q5,2
4,A,1,q6,0
4,A,1,q7,0
4,A,1,q8,0
4,A,1,q9,0
4,A,1,pq_1,1
4,A,1,pq_2,2
4,A,1,hand,1
5,A,2,q1,0
5,A,2,q2,0
5,A,2,q3,0
5,A,2,q4,0
5,A,2,q4_loc,0
5,A,2,q5,0
5,A,2,q6,0
5,A,2,q7,0
5,A,2,q8,0
5,A,2,q9,0
5,A,2,pq_1,2
5,A,2,pq_2,1
5,A,2,hand,1
5,S,1,q1,0
5,S,1,q2,0
5,S,1,q3,0
5,S,1,q4,0
5,S,1,q4_loc,0
5,S,1,q5,2
5,S,1,q6,0
5,S,1,q7,0
5,S,1,q8,0
5,S,1,q9,0
5,S,1,pq_1,2
5,S,1,pq_2,1
5,S,1,hand,1
6,A,1,q1,0
6,A,1,q2,0
6,A,1,q3,0
6,A,1,q4,0
6,A,1,q4_loc,0
6,A,1,q5,3
6,A,1,q6,0
6,A,1,q7,0
6,A,1,q8,0
6,A,1,q9,0
6,A,1,pq_1,1
6,A,1,pq_2,0
6,A,1,hand,0.333
6,S,2,q1,0
6,S,2,q2,1
6,S,2,q3,0
6,S,2,q4,0
6,S,2,q4_loc,0
6,S,2,q5,3
6,S,2,q6,0
